,obj_that,obj_wh,pp_wh,subj_wh,pairID
547,Matt shouldn't find out that some teachers are praising Jill for Donna.,Matt shouldn't find out who some teachers are praising for Donna.,Matt shouldn't find out who some teachers are praising Jill for.,Matt shouldn't find out who are praising Jill.,547
548,Pamela was revealing that many dancers meet Theodore for that dancer.,Pamela was revealing who many dancers meet for that dancer.,Pamela was revealing who many dancers meet Theodore for.,Pamela was revealing who meet Theodore.,548
549,Most associates knew that a woman bends a chair for Laura.,Most associates knew what a woman bends for Laura.,Most associates knew what a woman bends a chair for.,Most associates knew what bends a chair.,549
550,Sara revealed that every doctor climbs down a lot of steps for Laura.,Sara revealed what every doctor climbs down for Laura.,Sara revealed what every doctor climbs down a lot of steps for.,Sara revealed what climbs down a lot of steps.,550
551,Janet is finding out that these malls stunned Steven for the Clintons.,Janet is finding out who these malls stunned for the Clintons.,Janet is finding out who these malls stunned Steven for.,Janet is finding out who stunned Steven.,551
552,Tara isn't finding out that all children work with Chad with Patricia.,Tara isn't finding out who all children work with with Patricia.,Tara isn't finding out who all children work with Chad with.,Tara isn't finding out who work with Chad.,552
553,Margaret hadn't figured out that these dentists aren't throwing the mirrors for these boys.,Margaret hadn't figured out what these dentists aren't throwing for these boys.,Margaret hadn't figured out what these dentists aren't throwing the mirrors for.,Margaret hadn't figured out what aren't throwing the mirrors.,553
554,Patrick was remembering that the dancer isn't researching this aria for Samuel.,Patrick was remembering what the dancer isn't researching for Samuel.,Patrick was remembering what the dancer isn't researching this aria for.,Patrick was remembering what isn't researching this aria.,554
555,Derek is figuring out that a hairdresser hasn't forgotten Bradley for Dan.,Derek is figuring out who a hairdresser hasn't forgotten for Dan.,Derek is figuring out who a hairdresser hasn't forgotten Bradley for.,Derek is figuring out who hasn't forgotten Bradley.,555
556,Brian had known that some patients weren't striking every dentist for Chad.,Brian had known who some patients weren't striking for Chad.,Brian had known who some patients weren't striking every dentist for.,Brian had known who weren't striking every dentist.,556
557,Some senator is finding out that a lot of partners are examining that documentary for Melanie.,Some senator is finding out what a lot of partners are examining for Melanie.,Some senator is finding out what a lot of partners are examining that documentary for.,Some senator is finding out what are examining that documentary.,557
558,Michelle could realize that the electrician examines the essay for all handymen.,Michelle could realize what the electrician examines for all handymen.,Michelle could realize what the electrician examines the essay for.,Michelle could realize what examines the essay.,558
559,Michael conceals that many doctors don't sink this canoe with William.,Michael conceals what many doctors don't sink with William.,Michael conceals what many doctors don't sink this canoe with.,Michael conceals what don't sink this canoe.,559
560,A lot of doctors reveal that that report should shock Carmen for Claire.,A lot of doctors reveal who that report should shock for Claire.,A lot of doctors reveal who that report should shock Carmen for.,A lot of doctors reveal who should shock Carmen.,560
561,A lot of lawyers remember that those men were attacking Stephen for Deanna.,A lot of lawyers remember who those men were attacking for Deanna.,A lot of lawyers remember who those men were attacking Stephen for.,A lot of lawyers remember who were attacking Stephen.,561
562,Every guy hadn't realized that tutors weren't sinking the raft for a lot of podiatrists.,Every guy hadn't realized what tutors weren't sinking for a lot of podiatrists.,Every guy hadn't realized what tutors weren't sinking the raft for.,Every guy hadn't realized what weren't sinking the raft.,562
563,Cindy hasn't found out that these drivers hadn't discovered a lot of spotlights with Todd.,Cindy hasn't found out what these drivers hadn't discovered with Todd.,Cindy hasn't found out what these drivers hadn't discovered a lot of spotlights with.,Cindy hasn't found out what hadn't discovered a lot of spotlights.,563
564,A lot of banks had learned that every hairdresser is destroying all bikes with Liam.,A lot of banks had learned what every hairdresser is destroying with Liam.,A lot of banks had learned what every hairdresser is destroying all bikes with.,A lot of banks had learned what is destroying all bikes.,564
565,Guy wasn't figuring out that those women were lighting some screen with Sharon.,Guy wasn't figuring out what those women were lighting with Sharon.,Guy wasn't figuring out what those women were lighting some screen with.,Guy wasn't figuring out what were lighting some screen.,565
566,Those students would conceal that the pedestrian tears some skirt for Tanya.,Those students would conceal what the pedestrian tears for Tanya.,Those students would conceal what the pedestrian tears some skirt for.,Those students would conceal what tears some skirt.,566
567,These teachers are finding out that these handymen were hiding those hamsters for Renee.,These teachers are finding out what these handymen were hiding for Renee.,These teachers are finding out what these handymen were hiding those hamsters for.,These teachers are finding out what were hiding those hamsters.,567
568,Brenda had found out that a lot of oncologists tour this library with Sally.,Brenda had found out what a lot of oncologists tour with Sally.,Brenda had found out what a lot of oncologists tour this library with.,Brenda had found out what tour this library.,568
569,Raymond can discover that this person has fought this waiter with some associates.,Raymond can discover who this person has fought with some associates.,Raymond can discover who this person has fought this waiter with.,Raymond can discover who has fought this waiter.,569
570,Diana reveals that an association hasn't fired all piano teachers for Noah.,Diana reveals who an association hasn't fired for Noah.,Diana reveals who an association hasn't fired all piano teachers for.,Diana reveals who hasn't fired all piano teachers.,570
571,All dancers forgot that many associates build this movie theater with Rodney.,All dancers forgot what many associates build with Rodney.,All dancers forgot what many associates build this movie theater with.,All dancers forgot what build this movie theater.,571
572,Stacey revealed that the pedestrians pass some movie theater with teachers.,Stacey revealed what the pedestrians pass with teachers.,Stacey revealed what the pedestrians pass some movie theater with.,Stacey revealed what pass some movie theater.,572
573,Dawn did conceal that the lawyer leaves Benjamin for Elizabeth.,Dawn did conceal who the lawyer leaves for Elizabeth.,Dawn did conceal who the lawyer leaves Benjamin for.,Dawn did conceal who leaves Benjamin.,573
574,Phillip remembers that the dentists hugged Mary with Kristen.,Phillip remembers who the dentists hugged with Kristen.,Phillip remembers who the dentists hugged Mary with.,Phillip remembers who hugged Mary.,574
575,That man finds out that the women escaped from Carla for Ruth.,That man finds out who the women escaped from for Ruth.,That man finds out who the women escaped from Carla for.,That man finds out who escaped from Carla.,575
576,Schools know that the piano teacher is fleeing from Mark for some waitresses.,Schools know who the piano teacher is fleeing from for some waitresses.,Schools know who the piano teacher is fleeing from Mark for.,Schools know who is fleeing from Mark.,576
577,David was investigating that this waitress should drive that car for Linda.,David was investigating what this waitress should drive for Linda.,David was investigating what this waitress should drive that car for.,David was investigating what should drive that car.,577
578,Some organization wasn't concealing that all French teachers draw Caroline with many men.,Some organization wasn't concealing who all French teachers draw with many men.,Some organization wasn't concealing who all French teachers draw Caroline with.,Some organization wasn't concealing who draw Caroline.,578
579,Gary conceals that the boys clean some malls with a lot of women.,Gary conceals what the boys clean with a lot of women.,Gary conceals what the boys clean some malls with.,Gary conceals what clean some malls.,579
580,Benjamin hadn't learned that this woman hated Anne for Theresa.,Benjamin hadn't learned who this woman hated for Theresa.,Benjamin hadn't learned who this woman hated Anne for.,Benjamin hadn't learned who hated Anne.,580
581,Denise hasn't found out that this woman will bend some dish with these tutors.,Denise hasn't found out what this woman will bend with these tutors.,Denise hasn't found out what this woman will bend some dish with.,Denise hasn't found out what will bend some dish.,581
582,Carol realized that drawings look like some glasses for Jacqueline.,Carol realized what drawings look like for Jacqueline.,Carol realized what drawings look like some glasses for.,Carol realized what look like some glasses.,582
583,Some woman hadn't realized that fish climb down some ladder for Gary.,Some woman hadn't realized what fish climb down for Gary.,Some woman hadn't realized what fish climb down some ladder for.,Some woman hadn't realized what climb down some ladder.,583
584,The Clintons figure out that these public parks worry many banks for Rose.,The Clintons figure out what these public parks worry for Rose.,The Clintons figure out what these public parks worry many banks for.,The Clintons figure out what worry many banks.,584
585,Anna could investigate that a lawyer will bring those pants for Gina.,Anna could investigate what a lawyer will bring for Gina.,Anna could investigate what a lawyer will bring those pants for.,Anna could investigate what will bring those pants.,585
586,Some tutor was finding out that all pies scare most guests for waitresses.,Some tutor was finding out who all pies scare for waitresses.,Some tutor was finding out who all pies scare most guests for.,Some tutor was finding out who scare most guests.,586
587,Irene was investigating that that waitress broke some carriages for Edward.,Irene was investigating what that waitress broke for Edward.,Irene was investigating what that waitress broke some carriages for.,Irene was investigating what broke some carriages.,587
588,Mark remembered that this adult hadn't escaped from Samuel with Jodi.,Mark remembered who this adult hadn't escaped from with Jodi.,Mark remembered who this adult hadn't escaped from Samuel with.,Mark remembered who hadn't escaped from Samuel.,588
589,The bank revealed that some guest drops by every public park for Scott.,The bank revealed what some guest drops by for Scott.,The bank revealed what some guest drops by every public park for.,The bank revealed what drops by every public park.,589
590,Some senators are revealing that many adults weren't understanding Carmen with Kenneth.,Some senators are revealing who many adults weren't understanding with Kenneth.,Some senators are revealing who many adults weren't understanding Carmen with.,Some senators are revealing who weren't understanding Carmen.,590
591,All ladies have known that an associate had made this truck for Claire.,All ladies have known what an associate had made for Claire.,All ladies have known what an associate had made this truck for.,All ladies have known what had made this truck.,591
592,Jill had revealed that the boy won't draw Matt with a girl.,Jill had revealed who the boy won't draw with a girl.,Jill had revealed who the boy won't draw Matt with.,Jill had revealed who won't draw Matt.,592
593,A museum hasn't revealed that most girls haven't chosen Sandra with Mary.,A museum hasn't revealed who most girls haven't chosen with Mary.,A museum hasn't revealed who most girls haven't chosen Sandra with.,A museum hasn't revealed who haven't chosen Sandra.,593
594,Kirsten figured out that most electricians conceal Meredith for Marie.,Kirsten figured out who most electricians conceal for Marie.,Kirsten figured out who most electricians conceal Meredith for.,Kirsten figured out who conceal Meredith.,594
595,Many dancers figure out that some rabbits disgust Stephen with these actresses.,Many dancers figure out who some rabbits disgust with these actresses.,Many dancers figure out who some rabbits disgust Stephen with.,Many dancers figure out who disgust Stephen.,595
596,Amanda shouldn't learn that a patient had skated around this closet with every French teacher.,Amanda shouldn't learn what a patient had skated around with every French teacher.,Amanda shouldn't learn what a patient had skated around this closet with.,Amanda shouldn't learn what had skated around this closet.,596
597,The senator wasn't remembering that the sock impresses Kristen with Janet.,The senator wasn't remembering who the sock impresses with Janet.,The senator wasn't remembering who the sock impresses Kristen with.,The senator wasn't remembering who impresses Kristen.,597
598,Most teenagers figure out that this lawyer has drawn Carrie with Andrea.,Most teenagers figure out who this lawyer has drawn with Andrea.,Most teenagers figure out who this lawyer has drawn Carrie with.,Most teenagers figure out who has drawn Carrie.,598
599,Tanya did reveal that every customer had written some commentary with the guest.,Tanya did reveal what every customer had written with the guest.,Tanya did reveal what every customer had written some commentary with.,Tanya did reveal what had written some commentary.,599
600,A lot of teachers reveal that every waiter forgets Nicole for Tamara.,A lot of teachers reveal who every waiter forgets for Tamara.,A lot of teachers reveal who every waiter forgets Nicole for.,A lot of teachers reveal who forgets Nicole.,600
601,The teenagers conceal that these snakes won't worry many contractors for the partners.,The teenagers conceal who these snakes won't worry for the partners.,The teenagers conceal who these snakes won't worry many contractors for.,The teenagers conceal who won't worry many contractors.,601
602,That organization hadn't realized that a boy is leading Rodney with Christine.,That organization hadn't realized who a boy is leading with Christine.,That organization hadn't realized who a boy is leading Rodney with.,That organization hadn't realized who is leading Rodney.,602
603,Every lady figures out that every doctor has kept that chicken with that electrician.,Every lady figures out what every doctor has kept with that electrician.,Every lady figures out what every doctor has kept that chicken with.,Every lady figures out what has kept that chicken.,603
604,Anne does remember that these men have observed the tutors for Kenneth.,Anne does remember who these men have observed for Kenneth.,Anne does remember who these men have observed the tutors for.,Anne does remember who have observed the tutors.,604
605,Carla wouldn't conceal that some lady made most screens with Beth.,Carla wouldn't conceal what some lady made with Beth.,Carla wouldn't conceal what some lady made most screens with.,Carla wouldn't conceal what made most screens.,605
606,Many people could know that the person won't catch Caroline for Susan.,Many people could know who the person won't catch for Susan.,Many people could know who the person won't catch Caroline for.,Many people could know who won't catch Caroline.,606
607,Carlos revealed that that offspring isn't selling every college campus with Eric.,Carlos revealed what that offspring isn't selling with Eric.,Carlos revealed what that offspring isn't selling every college campus with.,Carlos revealed what isn't selling every college campus.,607
608,A man had forgotten that the teenager cures Vanessa for most associates.,A man had forgotten who the teenager cures for most associates.,A man had forgotten who the teenager cures Vanessa for.,A man had forgotten who cures Vanessa.,608
609,Nina reveals that partners sank the ships with all waitresses.,Nina reveals what partners sank with all waitresses.,Nina reveals what partners sank the ships with.,Nina reveals what sank the ships.,609
610,Stephanie revealed that a man investigates William for Tracy.,Stephanie revealed who a man investigates for Tracy.,Stephanie revealed who a man investigates William for.,Stephanie revealed who investigates William.,610
611,Linda remembered that pedestrians might escape from Chad with the dentist.,Linda remembered who pedestrians might escape from with the dentist.,Linda remembered who pedestrians might escape from Chad with.,Linda remembered who might escape from Chad.,611
612,Some actor isn't forgetting that an associate won't complain about Paul for Rebecca.,Some actor isn't forgetting who an associate won't complain about for Rebecca.,Some actor isn't forgetting who an associate won't complain about Paul for.,Some actor isn't forgetting who won't complain about Paul.,612
613,Kenneth was discovering that a lot of teenagers draw some rabbits for Michelle.,Kenneth was discovering what a lot of teenagers draw for Michelle.,Kenneth was discovering what a lot of teenagers draw some rabbits for.,Kenneth was discovering what draw some rabbits.,613
614,Theresa has revealed that all libraries aided Florence with Marie.,Theresa has revealed who all libraries aided with Marie.,Theresa has revealed who all libraries aided Florence with.,Theresa has revealed who aided Florence.,614
615,Amelia was discovering that the waiters ride those bicycles for Natalie.,Amelia was discovering what the waiters ride for Natalie.,Amelia was discovering what the waiters ride those bicycles for.,Amelia was discovering what ride those bicycles.,615
616,An electrician doesn't remember that some electrician grew some banana with David.,An electrician doesn't remember what some electrician grew with David.,An electrician doesn't remember what some electrician grew some banana with.,An electrician doesn't remember what grew some banana.,616
617,Those girls find out that an adult sweeps most tiles with Eva.,Those girls find out what an adult sweeps with Eva.,Those girls find out what an adult sweeps most tiles with.,Those girls find out what sweeps most tiles.,617
618,Handymen realize that a lot of schools had known Tiffany for this person.,Handymen realize who a lot of schools had known for this person.,Handymen realize who a lot of schools had known Tiffany for.,Handymen realize who had known Tiffany.,618
619,Bradley can realize that these French teachers concealed Danielle with Nicole.,Bradley can realize who these French teachers concealed with Nicole.,Bradley can realize who these French teachers concealed Danielle with.,Bradley can realize who concealed Danielle.,619
620,All dancers realized that some teenagers lifted that blouse with many contractors.,All dancers realized what some teenagers lifted with many contractors.,All dancers realized what some teenagers lifted that blouse with.,All dancers realized what lifted that blouse.,620
621,Donna figures out that this associate notices the lamps for the associate.,Donna figures out what this associate notices for the associate.,Donna figures out what this associate notices the lamps for.,Donna figures out what notices the lamps.,621
622,A lot of students reveal that the committee had overwhelmed Carla for Suzanne.,A lot of students reveal who the committee had overwhelmed for Suzanne.,A lot of students reveal who the committee had overwhelmed Carla for.,A lot of students reveal who had overwhelmed Carla.,622
623,Galileo had forgotten that some lawyers hadn't sold a turtle with Nancy.,Galileo had forgotten what some lawyers hadn't sold with Nancy.,Galileo had forgotten what some lawyers hadn't sold a turtle with.,Galileo had forgotten what hadn't sold a turtle.,623
624,Jodi knows that a lot of dancers hadn't exited some high school with those students.,Jodi knows what a lot of dancers hadn't exited with those students.,Jodi knows what a lot of dancers hadn't exited some high school with.,Jodi knows what hadn't exited some high school.,624
625,Michelle is realizing that these electricians were returning to the Impressionists with Ellen.,Michelle is realizing who these electricians were returning to with Ellen.,Michelle is realizing who these electricians were returning to the Impressionists with.,Michelle is realizing who were returning to the Impressionists.,625
626,Jacqueline wasn't forgetting that a lot of dentists aren't cleaning all stairs for Ronald.,Jacqueline wasn't forgetting what a lot of dentists aren't cleaning for Ronald.,Jacqueline wasn't forgetting what a lot of dentists aren't cleaning all stairs for.,Jacqueline wasn't forgetting what aren't cleaning all stairs.,626
627,Every school realizes that this child shook Ann with Raymond.,Every school realizes who this child shook with Raymond.,Every school realizes who this child shook Ann with.,Every school realizes who shook Ann.,627
628,Ruth figured out that many women should hire the waitresses for oncologists.,Ruth figured out who many women should hire for oncologists.,Ruth figured out who many women should hire the waitresses for.,Ruth figured out who should hire the waitresses.,628
629,Kristin remembers that the dancers kiss Steve for Ann.,Kristin remembers who the dancers kiss for Ann.,Kristin remembers who the dancers kiss Steve for.,Kristin remembers who kiss Steve.,629
630,Some student can't find out that the goose did lose that lady for Charles.,Some student can't find out who the goose did lose for Charles.,Some student can't find out who the goose did lose that lady for.,Some student can't find out who did lose that lady.,630
631,Tiffany wouldn't know that these hospitals hurt Claire for Kimberley.,Tiffany wouldn't know who these hospitals hurt for Kimberley.,Tiffany wouldn't know who these hospitals hurt Claire for.,Tiffany wouldn't know who hurt Claire.,631
632,Liam had known that this sketch harmed the Impressionists with some boy.,Liam had known who this sketch harmed with some boy.,Liam had known who this sketch harmed the Impressionists with.,Liam had known who harmed the Impressionists.,632
633,James investigated that the lady sweeps a lot of rooms for Caroline.,James investigated what the lady sweeps for Caroline.,James investigated what the lady sweeps a lot of rooms for.,James investigated what sweeps a lot of rooms.,633
634,The teacher is revealing that some woman passes some hospital with Colleen.,The teacher is revealing what some woman passes with Colleen.,The teacher is revealing what some woman passes some hospital with.,The teacher is revealing what passes some hospital.,634
635,These associates had revealed that most guests research that picture for Valerie.,These associates had revealed what most guests research for Valerie.,These associates had revealed what most guests research that picture for.,These associates had revealed what research that picture.,635
636,Jennifer did remember that a contractor insults many adults with Amanda.,Jennifer did remember who a contractor insults with Amanda.,Jennifer did remember who a contractor insults many adults with.,Jennifer did remember who insults many adults.,636
637,Debra figures out that offspring kiss David for a lot of electricians.,Debra figures out who offspring kiss for a lot of electricians.,Debra figures out who offspring kiss David for.,Debra figures out who kiss David.,637
638,Holly figures out that some electricians cured Jodi for Bradley.,Holly figures out who some electricians cured for Bradley.,Holly figures out who some electricians cured Jodi for.,Holly figures out who cured Jodi.,638
639,Carlos figures out that some boy isn't touring some college campus for this oncologist.,Carlos figures out what some boy isn't touring for this oncologist.,Carlos figures out what some boy isn't touring some college campus for.,Carlos figures out what isn't touring some college campus.,639
640,Carmen figures out that a lot of guys talk about Scott with some person.,Carmen figures out who a lot of guys talk about with some person.,Carmen figures out who a lot of guys talk about Scott with.,Carmen figures out who talk about Scott.,640
641,The Clintons were concealing that many guests should research some drawing with Gerald.,The Clintons were concealing what many guests should research with Gerald.,The Clintons were concealing what many guests should research some drawing with.,The Clintons were concealing what should research some drawing.,641
642,Deanna was remembering that the contractor hadn't escaped from Sharon for Meredith.,Deanna was remembering who the contractor hadn't escaped from for Meredith.,Deanna was remembering who the contractor hadn't escaped from Sharon for.,Deanna was remembering who hadn't escaped from Sharon.,642
643,Stacy forgets that some prints hadn't looked like Liam for those lawyers.,Stacy forgets who some prints hadn't looked like for those lawyers.,Stacy forgets who some prints hadn't looked like Liam for.,Stacy forgets who hadn't looked like Liam.,643
644,Those organizations don't forget that a waitress hasn't descended all slopes with Lori.,Those organizations don't forget what a waitress hasn't descended with Lori.,Those organizations don't forget what a waitress hasn't descended all slopes with.,Those organizations don't forget what hasn't descended all slopes.,644
645,Carl shouldn't know that many podiatrists would conceal Cindy with that dancer.,Carl shouldn't know who many podiatrists would conceal with that dancer.,Carl shouldn't know who many podiatrists would conceal Cindy with.,Carl shouldn't know who would conceal Cindy.,645
646,The oncologists discover that this French teacher has broken that skateboard for Rodney.,The oncologists discover what this French teacher has broken for Rodney.,The oncologists discover what this French teacher has broken that skateboard for.,The oncologists discover what has broken that skateboard.,646
647,Rachel can't figure out that all piano teachers clean this plane with Veronica.,Rachel can't figure out what all piano teachers clean with Veronica.,Rachel can't figure out what all piano teachers clean this plane with.,Rachel can't figure out what clean this plane.,647
648,A museum has known that these rabbits astound Dan with Benjamin.,A museum has known who these rabbits astound with Benjamin.,A museum has known who these rabbits astound Dan with.,A museum has known who astound Dan.,648
649,Donna concealed that the bank should steal the coins for Brenda.,Donna concealed what the bank should steal for Brenda.,Donna concealed what the bank should steal the coins for.,Donna concealed what should steal the coins.,649
650,Grace figures out that many guests were boasting about Theodore with Emily.,Grace figures out who many guests were boasting about with Emily.,Grace figures out who many guests were boasting about Theodore with.,Grace figures out who were boasting about Theodore.,650
651,A student had remembered that those teeth look like this print with Gary.,A student had remembered what those teeth look like with Gary.,A student had remembered what those teeth look like this print with.,A student had remembered what look like this print.,651
652,Irene realizes that that doctor escapes from Sarah for many men.,Irene realizes who that doctor escapes from for many men.,Irene realizes who that doctor escapes from Sarah for.,Irene realizes who escapes from Sarah.,652
653,Some teenagers revealed that many universities bothered Rachel with Kirsten.,Some teenagers revealed who many universities bothered with Kirsten.,Some teenagers revealed who many universities bothered Rachel with.,Some teenagers revealed who bothered Rachel.,653
654,Katherine knows that all offspring won't get some vase with Brad.,Katherine knows what all offspring won't get with Brad.,Katherine knows what all offspring won't get some vase with.,Katherine knows what won't get some vase.,654
655,Every piano teacher remembered that the dentist should drive to Spain for Jodi.,Every piano teacher remembered what the dentist should drive to for Jodi.,Every piano teacher remembered what the dentist should drive to Spain for.,Every piano teacher remembered what should drive to Spain.,655
656,Bruce is revealing that a guest was repairing a bike for Mark.,Bruce is revealing what a guest was repairing for Mark.,Bruce is revealing what a guest was repairing a bike for.,Bruce is revealing what was repairing a bike.,656
657,Some school hasn't concealed that those tutors are teaching Jerry for this electrician.,Some school hasn't concealed who those tutors are teaching for this electrician.,Some school hasn't concealed who those tutors are teaching Jerry for.,Some school hasn't concealed who are teaching Jerry.,657
658,That actor has forgotten that this boy bites most cakes for Gerald.,That actor has forgotten what this boy bites for Gerald.,That actor has forgotten what this boy bites most cakes for.,That actor has forgotten what bites most cakes.,658
659,Ella realized that many drivers attack Margaret with all hairdressers.,Ella realized who many drivers attack with all hairdressers.,Ella realized who many drivers attack Margaret with.,Ella realized who attack Margaret.,659
660,Beth learns that this woman tears the scarf with Carmen.,Beth learns what this woman tears with Carmen.,Beth learns what this woman tears the scarf with.,Beth learns what tears the scarf.,660
661,Kirsten doesn't investigate that many waitresses aren't arriving at some grocery store for that tutor.,Kirsten doesn't investigate what many waitresses aren't arriving at for that tutor.,Kirsten doesn't investigate what many waitresses aren't arriving at some grocery store for.,Kirsten doesn't investigate what aren't arriving at some grocery store.,661
662,Scott isn't concealing that most patients have liked ice cream with Jane.,Scott isn't concealing what most patients have liked with Jane.,Scott isn't concealing what most patients have liked ice cream with.,Scott isn't concealing what have liked ice cream.,662
663,All waiters won't reveal that the partner hadn't fixed cups for Lori.,All waiters won't reveal what the partner hadn't fixed for Lori.,All waiters won't reveal what the partner hadn't fixed cups for.,All waiters won't reveal what hadn't fixed cups.,663
664,Natalie realized that these children had praised Tamara for Deanna.,Natalie realized who these children had praised for Deanna.,Natalie realized who these children had praised Tamara for.,Natalie realized who had praised Tamara.,664
665,Committees conceal that some oncologist was discussing Omar for Paula.,Committees conceal who some oncologist was discussing for Paula.,Committees conceal who some oncologist was discussing Omar for.,Committees conceal who was discussing Omar.,665
666,Legislatures investigate that that customer insulted these actresses for Gerald.,Legislatures investigate who that customer insulted for Gerald.,Legislatures investigate who that customer insulted these actresses for.,Legislatures investigate who insulted these actresses.,666
667,Rodney knows that those forks were overwhelming Mark for some French teacher.,Rodney knows who those forks were overwhelming for some French teacher.,Rodney knows who those forks were overwhelming Mark for.,Rodney knows who were overwhelming Mark.,667
668,A library had known that the snake does climb up that ladder for George.,A library had known what the snake does climb up for George.,A library had known what the snake does climb up that ladder for.,A library had known what does climb up that ladder.,668
669,Todd investigates that some patient researches most songs for Gina.,Todd investigates what some patient researches for Gina.,Todd investigates what some patient researches most songs for.,Todd investigates what researches most songs.,669
670,Andrew wasn't investigating that that actress attacks Natalie for Jason.,Andrew wasn't investigating who that actress attacks for Jason.,Andrew wasn't investigating who that actress attacks Natalie for.,Andrew wasn't investigating who attacks Natalie.,670
671,Mark concealed that the piano teacher wasn't driving that bike for the lawyers.,Mark concealed what the piano teacher wasn't driving for the lawyers.,Mark concealed what the piano teacher wasn't driving that bike for.,Mark concealed what wasn't driving that bike.,671
672,A lot of museums are concealing that those pedestrians descend those stairs with Natalie.,A lot of museums are concealing what those pedestrians descend with Natalie.,A lot of museums are concealing what those pedestrians descend those stairs with.,A lot of museums are concealing what descend those stairs.,672
673,Some children know that the dancers don't choose the pepper for Melanie.,Some children know what the dancers don't choose for Melanie.,Some children know what the dancers don't choose the pepper for.,Some children know what don't choose the pepper.,673
674,Every guest forgot that those French teachers hire Nina for Rodney.,Every guest forgot who those French teachers hire for Rodney.,Every guest forgot who those French teachers hire Nina for.,Every guest forgot who hire Nina.,674
675,Universities are realizing that a man bikes to a lot of college campuses with Victoria.,Universities are realizing what a man bikes to with Victoria.,Universities are realizing what a man bikes to a lot of college campuses with.,Universities are realizing what bikes to a lot of college campuses.,675
676,Laurie forgets that girls won't ride some truck with the Clintons.,Laurie forgets what girls won't ride with the Clintons.,Laurie forgets what girls won't ride some truck with.,Laurie forgets what won't ride some truck.,676
677,Every guy discovers that some rice distracted Jessica with Curtis.,Every guy discovers who some rice distracted with Curtis.,Every guy discovers who some rice distracted Jessica with.,Every guy discovers who distracted Jessica.,677
678,Lisa could forget that these alumni kiss Jeffrey for that guy.,Lisa could forget who these alumni kiss for that guy.,Lisa could forget who these alumni kiss Jeffrey for.,Lisa could forget who kiss Jeffrey.,678
679,Guy wasn't remembering that the oncologist can't fix these plates for Tracy.,Guy wasn't remembering what the oncologist can't fix for Tracy.,Guy wasn't remembering what the oncologist can't fix these plates for.,Guy wasn't remembering what can't fix these plates.,679
680,Irene hadn't found out that a lot of college campuses help Dan for Sonia.,Irene hadn't found out who a lot of college campuses help for Sonia.,Irene hadn't found out who a lot of college campuses help Dan for.,Irene hadn't found out who help Dan.,680
681,That lady didn't conceal that a lot of teenagers haven't walked through malls with many teenagers.,That lady didn't conceal what a lot of teenagers haven't walked through with many teenagers.,That lady didn't conceal what a lot of teenagers haven't walked through malls with.,That lady didn't conceal what haven't walked through malls.,681
682,A child was investigating that every piano teacher hadn't repaired this fork for Nina.,A child was investigating what every piano teacher hadn't repaired for Nina.,A child was investigating what every piano teacher hadn't repaired this fork for.,A child was investigating what hadn't repaired this fork.,682
683,That girl remembers that people pass a lot of schools for Barbara.,That girl remembers what people pass for Barbara.,That girl remembers what people pass a lot of schools for.,That girl remembers what pass a lot of schools.,683
684,Paul shouldn't reveal that a boy can't repair these cars with that hairdresser.,Paul shouldn't reveal what a boy can't repair with that hairdresser.,Paul shouldn't reveal what a boy can't repair these cars with.,Paul shouldn't reveal what can't repair these cars.,684
685,Kathleen investigates that every associate couldn't light most candles for Ruth.,Kathleen investigates what every associate couldn't light for Ruth.,Kathleen investigates what every associate couldn't light most candles for.,Kathleen investigates what couldn't light most candles.,685
686,Veronica doesn't forget that those candles didn't underwhelm Judy for Christina.,Veronica doesn't forget who those candles didn't underwhelm for Christina.,Veronica doesn't forget who those candles didn't underwhelm Judy for.,Veronica doesn't forget who didn't underwhelm Judy.,686
687,A lot of teachers learn that these universities weren't firing that tutor with Mary.,A lot of teachers learn who these universities weren't firing with Mary.,A lot of teachers learn who these universities weren't firing that tutor with.,A lot of teachers learn who weren't firing that tutor.,687
688,Those piano teachers have realized that many women explored these malls with the podiatrists.,Those piano teachers have realized what many women explored with the podiatrists.,Those piano teachers have realized what many women explored these malls with.,Those piano teachers have realized what explored these malls.,688
689,These doctors reveal that the cart had resembled that sketch with Stephen.,These doctors reveal what the cart had resembled with Stephen.,These doctors reveal what the cart had resembled that sketch with.,These doctors reveal what had resembled that sketch.,689
690,Patrick knows that that guest discovered Melissa for some associates.,Patrick knows who that guest discovered for some associates.,Patrick knows who that guest discovered Melissa for.,Patrick knows who discovered Melissa.,690
691,Andrew finds out that a waitress can't lead the Lutherans with Carlos.,Andrew finds out who a waitress can't lead with Carlos.,Andrew finds out who a waitress can't lead the Lutherans with.,Andrew finds out who can't lead the Lutherans.,691
692,Samuel wasn't figuring out that that guy can't sink some raft with Claire.,Samuel wasn't figuring out what that guy can't sink with Claire.,Samuel wasn't figuring out what that guy can't sink some raft with.,Samuel wasn't figuring out what can't sink some raft.,692
693,A waiter isn't concealing that that man wasn't repairing this computer with that teacher.,A waiter isn't concealing what that man wasn't repairing with that teacher.,A waiter isn't concealing what that man wasn't repairing this computer with.,A waiter isn't concealing what wasn't repairing this computer.,693
694,Matt has known that some companies couldn't purchase some steps for all dancers.,Matt has known what some companies couldn't purchase for all dancers.,Matt has known what some companies couldn't purchase some steps for.,Matt has known what couldn't purchase some steps.,694
